file_code,entity_code,asset_type,media_kind,maitu_type,maitu_subtype,maitu_category,usage,subject,file_role,title,relative_path,filename,file_ext,mime_type,file_size,sha256,tags,browser_use_hint,local_relative_path,duplicate_group,duplicate_rank,duplicate_count,duplicate_primary_local_file_code,duplicate_primary_relative_path,is_duplicate_primary,parse_status,parse_issue
DH-AVT-0001-F002,DH-AVT-0001,IMG,image,数字分身,数字分身成品,digital_human_video,图片,37200_张裕定制形象260519,成品封面,数字分身 - 图片 - 37200_张裕定制形象260519 - 成品封面,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,.png,image/png,1452253,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,"数字分身,数字分身成品,图片,37200,张裕定制形象260519,成品封面,张裕",用于麦兔数字分身相关选择：37200_张裕定制形象260519，角色：成品封面,,DUP-001,1,4,DH-AVT-0001-F002,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,True,parsed,
DH-AVT-0001-F003,DH-AVT-0001,VID,video,数字分身,数字分身成品,digital_human_video,视频,37200_张裕定制形象260519,成品预览视频,数字分身 - 视频 - 37200_张裕定制形象260519 - 成品预览视频,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,.mp4,video/mp4,2242608,276cf56baad5dc446b67f8c4cab501cffaba866c1993a6d066a921ebec8f51a9,"数字分身,数字分身成品,视频,37200,张裕定制形象260519,成品预览视频,张裕",用于麦兔数字分身相关选择：37200_张裕定制形象260519，角色：成品预览视频,,DUP-002,1,2,DH-AVT-0001-F003,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,True,parsed,
DH-AVT-0002-F002,DH-AVT-0002,IMG,image,数字分身,数字分身成品,digital_human_video,图片,40222_明月,成品封面,数字分身 - 图片 - 40222_明月 - 成品封面,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,.png,image/png,1834311,274d54c4a4088a44d20df9d525a21adfeff87aca3a6e292a59ad62ca8ee5793a,"数字分身,数字分身成品,图片,40222,明月,成品封面",用于麦兔数字分身相关选择：40222_明月，角色：成品封面,,DUP-003,1,4,DH-AVT-0002-F002,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,True,parsed,
DH-AVT-0002-F003,DH-AVT-0002,VID,video,数字分身,数字分身成品,digital_human_video,视频,40222_明月,成品预览视频,数字分身 - 视频 - 40222_明月 - 成品预览视频,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,.mp4,video/mp4,2903301,e11da9d2c8c9371a33fc6d7246bd3ebb11b76f5eec51bbeaef19cc495a97b298,"数字分身,数字分身成品,视频,40222,明月,成品预览视频",用于麦兔数字分身相关选择：40222_明月，角色：成品预览视频,,DUP-004,1,2,DH-AVT-0002-F003,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,True,parsed,
DH-AVT-0001-F001,DH-AVT-0001,IMG,image,数字分身,数字分身成品,digital_human_video,图片,37200_张裕定制形象260519,成品封面,数字分身 - 图片 - 37200_张裕定制形象260519 - 成品封面,数字分身/数字分身成品/DH-AVT-0001-F001_数字分身成品_37200_张裕定制形象260519_成品封面.png,DH-AVT-0001-F001_数字分身成品_37200_张裕定制形象260519_成品封面.png,.png,image/png,1452253,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,"数字分身,数字分身成品,图片,37200,张裕定制形象260519,成品封面,张裕",用于麦兔数字分身相关选择：37200_张裕定制形象260519，角色：成品封面,,DUP-001,2,4,DH-AVT-0001-F002,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,False,parsed,
DH-AVT-0001-F004,DH-AVT-0001,VID,video,数字分身,数字分身成品,digital_human_video,视频,37200_张裕定制形象260519,成品预览视频,数字分身 - 视频 - 37200_张裕定制形象260519 - 成品预览视频,数字分身/数字分身成品/DH-AVT-0001-F004_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,DH-AVT-0001-F004_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,.mp4,video/mp4,2242608,276cf56baad5dc446b67f8c4cab501cffaba866c1993a6d066a921ebec8f51a9,"数字分身,数字分身成品,视频,37200,张裕定制形象260519,成品预览视频,张裕",用于麦兔数字分身相关选择：37200_张裕定制形象260519，角色：成品预览视频,,DUP-002,2,2,DH-AVT-0001-F003,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,False,parsed,
DH-AVT-0002-F001,DH-AVT-0002,IMG,image,数字分身,数字分身成品,digital_human_video,图片,40222_明月,成品封面,数字分身 - 图片 - 40222_明月 - 成品封面,数字分身/数字分身成品/DH-AVT-0002-F001_数字分身成品_40222_明月_成品封面.png,DH-AVT-0002-F001_数字分身成品_40222_明月_成品封面.png,.png,image/png,1834311,274d54c4a4088a44d20df9d525a21adfeff87aca3a6e292a59ad62ca8ee5793a,"数字分身,数字分身成品,图片,40222,明月,成品封面",用于麦兔数字分身相关选择：40222_明月，角色：成品封面,,DUP-003,2,4,DH-AVT-0002-F002,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,False,parsed,
DH-AVT-0002-F004,DH-AVT-0002,VID,video,数字分身,数字分身成品,digital_human_video,视频,40222_明月,成品预览视频,数字分身 - 视频 - 40222_明月 - 成品预览视频,数字分身/数字分身成品/DH-AVT-0002-F004_数字分身成品_40222_明月_成品预览视频.mp4,DH-AVT-0002-F004_数字分身成品_40222_明月_成品预览视频.mp4,.mp4,video/mp4,2903301,e11da9d2c8c9371a33fc6d7246bd3ebb11b76f5eec51bbeaef19cc495a97b298,"数字分身,数字分身成品,视频,40222,明月,成品预览视频",用于麦兔数字分身相关选择：40222_明月，角色：成品预览视频,,DUP-004,2,2,DH-AVT-0002-F003,数字分身/数字分身成品/40222_明月/DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,False,parsed,
DH-MDL-0001-F001,DH-MDL-0001,IMG,image,数字分身,模特,digital_human_video,图片,7717_Y26定制,模特封面,数字分身 - 图片 - 7717_Y26定制 - 模特封面,数字分身/模特/7717_Y26定制/DH-MDL-0001-F001_模特_7717_Y26定制_模特封面.png,DH-MDL-0001-F001_模特_7717_Y26定制_模特封面.png,.png,image/png,1452253,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,"数字分身,模特,图片,7717,Y26定制,模特封面",用于麦兔数字分身相关选择：7717_Y26定制，角色：模特封面,,DUP-001,3,4,DH-AVT-0001-F002,数字分身/数字分身成品/37200_张裕定制形象260519/DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,False,parsed,
DH-MDL-0001-F002,DH-MDL-0001,VID,video,数字分身,模特,digital_human_video,视频,7717_Y26定制,完整预览视频,数字分身 - 视频 - 7717_Y26定制 - 完整预览视频,数字分身/模特/7717_Y26定制/DH-MDL-0001-F002_模特_7717_Y26定制_完整预览视频.mp4,DH-MDL-0001-F002_模特_7717_Y26定制_完整预览视频.mp4,.mp4,video/mp4,465825418,e51519cd14ae47b400fd64f814edf5b7a0750b035c55e1d3ec24b4342f445d83,"数字分身,模特,视频,7717,Y26定制,完整预览视频",用于麦兔数字分身相关选择：7717_Y26定制，角色：完整预览视频,,,,,,,False,parsed,
