entity_code,file_code,maitu_type,maitu_subtype,media_kind,browser_usage,subject,file_role,original_relative_path,new_relative_path,original_filename,new_filename,canonical_extension,maitu_material_id_guess,size_bytes,tags,browser_use_hint,duplicate_group,duplicate_rank,duplicate_count,duplicate_primary_path,sha256,rename_action,dedupe_suggestion
DH-AVT-0001,DH-AVT-0001-F001,数字分身,数字分身成品,image,图片,37200_张裕定制形象260519,成品封面,数字分身\数字分身成品\37200_张裕定制形象260519.png,数字分身\数字分身成品\DH-AVT-0001-F001_数字分身成品_37200_张裕定制形象260519_成品封面.png,37200_张裕定制形象260519.png,DH-AVT-0001-F001_数字分身成品_37200_张裕定制形象260519_成品封面.png,.png,37200,1452253,"数字分身,图片,37200_张裕定制形象260519,成品封面,数字分身成品,张裕",用于麦兔数字分身成品选择：37200_张裕定制形象260519，角色：成品封面,DUP-001,1,4,数字分身\数字分身成品\37200_张裕定制形象260519.png,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,rename_only,重复组主文件
DH-AVT-0001,DH-AVT-0001-F002,数字分身,数字分身成品,image,图片,37200_张裕定制形象260519,成品封面,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_cover.png,数字分身\数字分身成品\37200_张裕定制形象260519\DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,37200_张裕定制形象260519_cover.png,DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,.png,37200,1452253,"数字分身,图片,37200_张裕定制形象260519,成品封面,数字分身成品,张裕",用于麦兔数字分身成品选择：37200_张裕定制形象260519，角色：成品封面,DUP-001,2,4,数字分身\数字分身成品\37200_张裕定制形象260519.png,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,rename_only,保留主文件，复核是否归档此重复文件
DH-AVT-0001,DH-AVT-0001-F003,数字分身,数字分身成品,video,视频,37200_张裕定制形象260519,成品预览视频,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_preview_video.mp4,数字分身\数字分身成品\37200_张裕定制形象260519\DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,37200_张裕定制形象260519_preview_video.mp4,DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,.mp4,37200,2242608,"数字分身,视频,37200_张裕定制形象260519,成品预览视频,数字分身成品,张裕",用于麦兔数字分身成品选择：37200_张裕定制形象260519，角色：成品预览视频,DUP-002,1,2,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_preview_video.mp4,276cf56baad5dc446b67f8c4cab501cffaba866c1993a6d066a921ebec8f51a9,rename_only,重复组主文件
DH-AVT-0001,DH-AVT-0001-F004,数字分身,数字分身成品,video,视频,37200_张裕定制形象260519,成品预览视频,数字分身\数字分身成品\37200_张裕定制形象260519_preview_video.mp4,数字分身\数字分身成品\DH-AVT-0001-F004_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,37200_张裕定制形象260519_preview_video.mp4,DH-AVT-0001-F004_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,.mp4,37200,2242608,"数字分身,视频,37200_张裕定制形象260519,成品预览视频,数字分身成品,张裕",用于麦兔数字分身成品选择：37200_张裕定制形象260519，角色：成品预览视频,DUP-002,2,2,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_preview_video.mp4,276cf56baad5dc446b67f8c4cab501cffaba866c1993a6d066a921ebec8f51a9,rename_only,保留主文件，复核是否归档此重复文件
DH-AVT-0002,DH-AVT-0002-F001,数字分身,数字分身成品,image,图片,40222_明月,成品封面,数字分身\数字分身成品\40222_明月.png,数字分身\数字分身成品\DH-AVT-0002-F001_数字分身成品_40222_明月_成品封面.png,40222_明月.png,DH-AVT-0002-F001_数字分身成品_40222_明月_成品封面.png,.png,40222,1834311,"数字分身,图片,40222_明月,成品封面,数字分身成品",用于麦兔数字分身成品选择：40222_明月，角色：成品封面,DUP-003,1,4,数字分身\数字分身成品\40222_明月.png,274d54c4a4088a44d20df9d525a21adfeff87aca3a6e292a59ad62ca8ee5793a,rename_only,重复组主文件
DH-AVT-0002,DH-AVT-0002-F002,数字分身,数字分身成品,image,图片,40222_明月,成品封面,数字分身\数字分身成品\40222_明月\40222_明月_cover.png,数字分身\数字分身成品\40222_明月\DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,40222_明月_cover.png,DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,.png,40222,1834311,"数字分身,图片,40222_明月,成品封面,数字分身成品",用于麦兔数字分身成品选择：40222_明月，角色：成品封面,DUP-003,2,4,数字分身\数字分身成品\40222_明月.png,274d54c4a4088a44d20df9d525a21adfeff87aca3a6e292a59ad62ca8ee5793a,rename_only,保留主文件，复核是否归档此重复文件
DH-AVT-0002,DH-AVT-0002-F003,数字分身,数字分身成品,video,视频,40222_明月,成品预览视频,数字分身\数字分身成品\40222_明月\40222_明月_preview_video.mp4,数字分身\数字分身成品\40222_明月\DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,40222_明月_preview_video.mp4,DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,.mp4,40222,2903301,"数字分身,视频,40222_明月,成品预览视频,数字分身成品",用于麦兔数字分身成品选择：40222_明月，角色：成品预览视频,DUP-004,1,2,数字分身\数字分身成品\40222_明月\40222_明月_preview_video.mp4,e11da9d2c8c9371a33fc6d7246bd3ebb11b76f5eec51bbeaef19cc495a97b298,rename_only,重复组主文件
DH-AVT-0002,DH-AVT-0002-F004,数字分身,数字分身成品,video,视频,40222_明月,成品预览视频,数字分身\数字分身成品\40222_明月_preview_video.mp4,数字分身\数字分身成品\DH-AVT-0002-F004_数字分身成品_40222_明月_成品预览视频.mp4,40222_明月_preview_video.mp4,DH-AVT-0002-F004_数字分身成品_40222_明月_成品预览视频.mp4,.mp4,40222,2903301,"数字分身,视频,40222_明月,成品预览视频,数字分身成品",用于麦兔数字分身成品选择：40222_明月，角色：成品预览视频,DUP-004,2,2,数字分身\数字分身成品\40222_明月\40222_明月_preview_video.mp4,e11da9d2c8c9371a33fc6d7246bd3ebb11b76f5eec51bbeaef19cc495a97b298,rename_only,保留主文件，复核是否归档此重复文件
DH-MDL-0001,DH-MDL-0001-F001,数字分身,模特,image,图片,7717_Y26定制,模特封面,数字分身\模特\7717_Y26定制\7717_Y26定制_cover_url.png,数字分身\模特\7717_Y26定制\DH-MDL-0001-F001_模特_7717_Y26定制_模特封面.png,7717_Y26定制_cover_url.png,DH-MDL-0001-F001_模特_7717_Y26定制_模特封面.png,.png,7717,1452253,"数字分身,图片,7717_Y26定制,模特封面,模特",用于麦兔定制模特/数字人形象素材：7717_Y26定制，角色：模特封面,DUP-001,3,4,数字分身\数字分身成品\37200_张裕定制形象260519.png,85c3192b32064ee42c9e60ab001c61b3e087a962a6e2989e89d84cc62f1d4eb3,rename_only,保留主文件，复核是否归档此重复文件
DH-MDL-0001,DH-MDL-0001-F002,数字分身,模特,video,视频,7717_Y26定制,完整预览视频,数字分身\模特\7717_Y26定制\7717_Y26定制_full_preview_video.mp4,数字分身\模特\7717_Y26定制\DH-MDL-0001-F002_模特_7717_Y26定制_完整预览视频.mp4,7717_Y26定制_full_preview_video.mp4,DH-MDL-0001-F002_模特_7717_Y26定制_完整预览视频.mp4,.mp4,7717,465825418,"数字分身,视频,7717_Y26定制,完整预览视频,模特",用于麦兔定制模特/数字人形象素材：7717_Y26定制，角色：完整预览视频,,,,,,rename_only,唯一素材
