current_relative_path,rollback_relative_path,file_code,duplicate_group
数字分身\数字分身成品\DH-AVT-0001-F001_数字分身成品_37200_张裕定制形象260519_成品封面.png,数字分身\数字分身成品\37200_张裕定制形象260519.png,DH-AVT-0001-F001,DUP-001
数字分身\数字分身成品\37200_张裕定制形象260519\DH-AVT-0001-F002_数字分身成品_37200_张裕定制形象260519_成品封面.png,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_cover.png,DH-AVT-0001-F002,DUP-001
数字分身\数字分身成品\37200_张裕定制形象260519\DH-AVT-0001-F003_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_preview_video.mp4,DH-AVT-0001-F003,DUP-002
数字分身\数字分身成品\DH-AVT-0001-F004_数字分身成品_37200_张裕定制形象260519_成品预览视频.mp4,数字分身\数字分身成品\37200_张裕定制形象260519_preview_video.mp4,DH-AVT-0001-F004,DUP-002
数字分身\数字分身成品\DH-AVT-0002-F001_数字分身成品_40222_明月_成品封面.png,数字分身\数字分身成品\40222_明月.png,DH-AVT-0002-F001,DUP-003
数字分身\数字分身成品\40222_明月\DH-AVT-0002-F002_数字分身成品_40222_明月_成品封面.png,数字分身\数字分身成品\40222_明月\40222_明月_cover.png,DH-AVT-0002-F002,DUP-003
数字分身\数字分身成品\40222_明月\DH-AVT-0002-F003_数字分身成品_40222_明月_成品预览视频.mp4,数字分身\数字分身成品\40222_明月\40222_明月_preview_video.mp4,DH-AVT-0002-F003,DUP-004
数字分身\数字分身成品\DH-AVT-0002-F004_数字分身成品_40222_明月_成品预览视频.mp4,数字分身\数字分身成品\40222_明月_preview_video.mp4,DH-AVT-0002-F004,DUP-004
数字分身\模特\7717_Y26定制\DH-MDL-0001-F001_模特_7717_Y26定制_模特封面.png,数字分身\模特\7717_Y26定制\7717_Y26定制_cover_url.png,DH-MDL-0001-F001,DUP-001
数字分身\模特\7717_Y26定制\DH-MDL-0001-F002_模特_7717_Y26定制_完整预览视频.mp4,数字分身\模特\7717_Y26定制\7717_Y26定制_full_preview_video.mp4,DH-MDL-0001-F002,
数字分身\模特\7717_Y26定制\DH-MDL-0001-F003_模特_7717_Y26定制_口型对比视频.mp4,数字分身\模特\7717_Y26定制\7717_Y26定制_lip_comparison_video.mp4,DH-MDL-0001-F003,
数字分身\模特\7717_Y26定制\DH-MDL-0001-F004_模特_7717_Y26定制_预览视频.mp4,数字分身\模特\7717_Y26定制\7717_Y26定制_preview_video.mp4,DH-MDL-0001-F004,
数字分身\模特\7717_Y26定制\DH-MDL-0001-F005_模特_7717_Y26定制_训练合成视频.mp4,数字分身\模特\7717_Y26定制\7717_Y26定制_training_material.mp4,DH-MDL-0001-F005,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F006_模特_7717_Y26定制_多名利特选窖藏_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_cover.png,DH-MDL-0001-F006,DUP-001
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F007_模特_7717_Y26定制_N158_礼盒_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_cover.png,DH-MDL-0001-F007,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F008_模特_7717_Y26定制_解百纳1937_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_cover.png,DH-MDL-0001-F008,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F009_模特_7717_Y26定制_品酒大师SUPER_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_cover.png,DH-MDL-0001-F009,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F010_模特_7717_Y26定制_品酒大师MASTER_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_cover.png,DH-MDL-0001-F010,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F011_模特_7717_Y26定制_品酒大师PRO_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\05_100164837226 张裕 九代解百纳 品酒大师pro 干红葡萄酒 750ml6瓶 整箱装 全00203310_cover.png,DH-MDL-0001-F011,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F012_模特_7717_Y26定制_品酒大师PLUS_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\06_100296507068 张裕 九代解百纳 品酒大师plus 干红葡萄酒 750ml6瓶 整箱装 全00199697_cover.png,DH-MDL-0001-F012,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F013_模特_7717_Y26定制_龙谕单一园_礼盒_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\07_100041192218 龙谕酒庄单一园赤霞珠干红葡萄酒750ml2礼盒装 全00195905_cover.png,DH-MDL-0001-F013,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F014_模特_7717_Y26定制_龙谕龙12_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\08_100029295263 龙谕 龙12 干红葡萄酒 750ml4瓶 整箱装 全00192759_cover.png,DH-MDL-0001-F014,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F015_模特_7717_Y26定制_张裕通用口播_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\09_张裕通用口播00183859_cover.png,DH-MDL-0001-F015,
数字分身\模特\7717_Y26定制\分段封面\DH-MDL-0001-F016_模特_7717_Y26定制_龙谕龙8_分段封面.png,数字分身\模特\7717_Y26定制\分段封面\10_100029295221 龙谕 龙8 干红葡萄酒 750ml4瓶 整箱装 全2_00180000_cover.png,DH-MDL-0001-F016,
